Nº de inscripción;Categoría;Nombre;Especialidad: ;Régimen: ;Provincia;Municipio;CP;Dirección;Correo electrónico;Sitio web;Teléfono;Nº plazas totales;Fecha alta;Periodo
CV-ARU000340-V;DOS ESTRELLAS;ESPAI SOLANA;;COMPARTIDA;VALENCIA/VALÈNCIA;BUFALI;46891;C VIRGEN DE LORETO 13;nuncypons@yahoo.es;http://www.naturanea.es;650578565;16;31/01/2008;[Anual]
CV-ARU000388-V;DOS ESTRELLAS;MORERA;;COMPARTIDA;VALENCIA/VALÈNCIA;ONTINYENT;46870;CR CV 655  KM 10;contacto@jullianturismorural.es;http://www.jullianturismorural.com;962380162;13;27/05/2010;[Anual]
CV-ARU000321-V;DOS ESTRELLAS;ELS HORTS DE PALOMAR;;COMPARTIDA;VALENCIA/VALÈNCIA;PALOMAR, EL;46891;C MAYOR 13;cheloag5@hotmail.com;www.casaruralvalencia.net;633512923;15;06/08/2007;[Anual]
CV-ARU000642-V;DOS ESTRELLAS;MANZANEQUE;;COMPARTIDA;VALENCIA/VALÈNCIA;CAUDETE DE LAS FUENTES;46315;Calle Valencia 11;vikyl.70@gmail.com;;659187038;10;10/10/2024;[Anual]
CV-ARU000423-V;DOS ESTRELLAS;LA COLMENA;;COMPARTIDA;VALENCIA/VALÈNCIA;CORTES DE PALLÁS;46199;C MAYOR S/N;mpergrau@hotmail.com;http://www.somosapicultores.com;660103836;14;14/05/2012;[Anual]
CV-ARU000589-V;DOS ESTRELLAS;CALAPUCH;;COMPARTIDA;VALENCIA/VALÈNCIA;ALZIRA;46600;AV RADIOFONISTA ALFONSO ROVIRA  PARCELA 127 S/N;reservas@fincalacalma.com;http://fincalacalma.com;;14;20/06/2022;[Anual]
CV-ARU000235-V;DOS ESTRELLAS;EL MONDUVER;;COMPARTIDA;VALENCIA/VALÈNCIA;BARX;46758;C ELIES FRASQUET - LA DROVA 1;;;962807075;10;23/12/2004;No especificado
CV-ARU000646-V;TRES ESTRELLAS;VISTAS DEL FRAILECICO;CASA DE PUEBLO;NO COMPARTIDA;VALENCIA/VALÈNCIA;CHULILLA;46167;CALLE TURIA, 35;;;;10;03/04/2025;[Anual]
CV-ARU000519-V;TRES ESTRELLAS;CA'LS AVIS;CASA DE PUEBLO;NO COMPARTIDA;VALENCIA/VALÈNCIA;SERRA;46118;C MIRADOR TERESA NAVARRO 4-5;calsavisserra@gmail.com;http://ww.calsavisserra.com;675680730;4;02/07/2018;[Anual]
CV-ARU000474-V;TRES ESTRELLAS;EL XOP;CASA DE PUEBLO;NO COMPARTIDA;VALENCIA/VALÈNCIA;PALOMAR, EL;46891;C SANT DOMENECH 13;cheloag5@hotmail.com;;633512923;12;27/11/2015;[Anual]
CV-ARU000636-V;TRES ESTRELLAS;Huerto del Carmen;ALQUERÍA;NO COMPARTIDA;VALENCIA/VALÈNCIA;POBLA LLARGA, LA;46670;Polígono 12 Parcela 21 Camí de Serratosa s/n;palomaserratosa@gmail.com;;687596003;14;21/05/2024;[Anual]
CV-ARU000649-V;TRES ESTRELLAS;NATUURHUISJE LA CASITA;MASÍA;COMPARTIDA;VALENCIA/VALÈNCIA;ONTINYENT;46870;PDA DE LA SOLANA  POLIGONO 4 PARCELA 161 C SANT ONOFRE;NOTIFICACIONES@UBEDAHERRERO.ES;;962916114;4;29/04/2025;[Anual]
CV-ARU000534-V;TRES ESTRELLAS;RAFAELET;RIURAU;NO COMPARTIDA;VALENCIA/VALÈNCIA;AIELO DE RUGAT;46842;PD CANAL D'ALCOI, PARCELA 98, POLIGONO 2 S/N;;;696918333;8;06/02/2019;[Anual]
CV-ARU000087-V;TRES ESTRELLAS;VILLA MILAGRO I;;NO COMPARTIDA;VALENCIA/VALÈNCIA;POLINYÀ DE XÚQUER;46688;PD Partida del Racó s/n (Parcelas 123-124) S/N;info@villamilagro.es;http://hotelruralvalencia.es;615516333;7;28/05/2001;No especificado
CV-ARU000557-V;TRES ESTRELLAS;LA CASA GRANDE DE CHULILLA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;CHULILLA;46167;C MAESTRO AMBLAR 51;luis2007vcia@hotmail.com;;631085550;6;20/07/2020;[Anual]
CV-ARU000471-V;TRES ESTRELLAS;RAÏM DE PASTOR;;NO COMPARTIDA;VALENCIA/VALÈNCIA;CORBERA;46612;C San Vicent 1;lamber_castello@hotmail.com;http://www.casaruralraimdepastor.com;685053171;8;28/08/2015;[Anual]
CV-ARU000597-V;TRES ESTRELLAS;VILLA SOL;;NO COMPARTIDA;VALENCIA/VALÈNCIA;REQUENA;46340;C SANTA MARIA 18;menendezochando@gmail.com;;645941566;4;02/03/2023;[Anual]
CV-ARU000546-V;TRES ESTRELLAS;LA POSADA DE CHELLA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;CHELLA;46610;AV CONSTITUCION 90;auroramartinezesteve@gmail.com;;691136899;8;21/01/2020;[Anual]
CV-ARU000462-V;TRES ESTRELLAS;CASA FRIAS;;NO COMPARTIDA;VALENCIA/VALÈNCIA;BENIATJAR;46844;C LLAURADORS 6;casaruralbeniatjar@gmail.com;;661526251;12;03/11/2014;[Anual]
CV-ARU000429-V;TRES ESTRELLAS;TERRA BLANCA DEL BENICADELL;;NO COMPARTIDA;VALENCIA/VALÈNCIA;BENIATJAR;46844;C Blas Bataller 22; info@terra-blanca-del-benicadell.es;https://www.terra-blanca-del-benicadell.es;658 131 985;11;26/07/2012;[Anual]
CV-ARU000510-V;TRES ESTRELLAS;LA ISLA DE JUCAR;;NO COMPARTIDA;VALENCIA/VALÈNCIA;ALZIRA;46792;C La Solana 10, La Barraca de Aguas Vivas ;info@laisladeljucar.com;https://www.laisladeljucar.com;+34 633 127 317;8;02/03/2018;[Anual]
CV-ARU000466-V;TRES ESTRELLAS;BOHILGUES;;NO COMPARTIDA;VALENCIA/VALÈNCIA;VALLANCA;46145;C SANTERON 11;info@casaruralbohilgues.com;https://www.casaruralbohilgues.com;633 797 779;12;10/06/2015;[Anual]
CV-ARU000640-V;TRES ESTRELLAS;EL CALLEJON;;COMPARTIDA;VALENCIA/VALÈNCIA;VENTA DEL MORO;46311;CLCALLE BODEGAS Nº 9 (JARAGUAS);info@elcallejondejaraguas.es;www.elcallejondejaraguas.es;626390737;4;25/11/2024;[Anual]
CV-ARU000629-V;TRES ESTRELLAS;XATIVA GARDEN SUITES;;COMPARTIDA;VALENCIA/VALÈNCIA;XÀTIVA;46800;CANONIGO CEBRIAN Nº3;marthairiarte7@gmail.com;;622741030;10;27/04/2024;[Anual]
CV-ARU000472-V;TRES ESTRELLAS;LA CASONA DE ALBAIDA;;COMPARTIDA;VALENCIA/VALÈNCIA;ALBAIDA;46860;C Beato Nicolas Factor 29;info@lacasonadealbaida.es;http://www.casaruralenvalencia.es;962900413;6;19/10/2015;[Anual]
CV-ARU000593-V;TRES ESTRELLAS;ABBI SUITES;;COMPARTIDA;VALENCIA/VALÈNCIA;BOCAIRENT;46880;C ABADIA 49;info@abbisuires.com;http://www.abbisuites.com;696574888;15;23/12/2022;[Anual]
CV-ARU000390-V;CUATRO ESTRELLAS;LA PLACETA;CASA DE PUEBLO;COMPARTIDA;VALENCIA/VALÈNCIA;AYORA;46620;PL GRANERO 9;;http://hotellaplaceta.es;961890432;13;08/06/2010;[Anual]
CV-ARU000584-V;CUATRO ESTRELLAS;ALQUERIA DEL XUQUER;ALQUERÍA;COMPARTIDA;VALENCIA/VALÈNCIA;ALZIRA;46600;CR de Albalat km 3 ;info@alqueriadelxuquer.com;https://alqueriadelxuquer.com;608 622 065;14;01/02/2022;[Anual]
CV-ARU000477-V;CUATRO ESTRELLAS;EL SEQUER;MASÍA;COMPARTIDA;VALENCIA/VALÈNCIA;OLIVA;46780;PA LADRILLARES 36;pablo@martideveses.net;http://www.casaruralelsequer.com;610267575;14;17/02/2016;[Anual]
CV-ARU000431-V;CUATRO ESTRELLAS;HEREDAD LA BOQUILLA;MASÍA;COMPARTIDA;VALENCIA/VALÈNCIA;ENGUERA;46810;FINCA HEREDAD LA BOQUILLA s/n;contabilidad@boquilla.com.es;;658962661;15;11/09/2012;[Anual]
CV-ARU000598-V;CUATRO ESTRELLAS;MARIOLA SECRETA;MASÍA;COMPARTIDA;VALENCIA/VALÈNCIA;BOCAIRENT;46880;PD EL CIPRERET. POL 8 PARC 78 S/N;info@mariolasecreta.com;http://www.mariolasecreta.com;641880844;12;15/03/2023;[Anual]
CV-ARU000342-V;CUATRO ESTRELLAS;MASIA L'ALCUDIA;MASÍA;COMPARTIDA;VALENCIA/VALÈNCIA;FONTANARS DELS ALFORINS;46635;PO 20 - 3E (FINCA HEREDAD NUEVA ALCUDIA) S/N;lanovaalcudia@hotmail.es;http://www.lanovaalcudia.es;609609291;16;29/02/2008;[Anual]
CV-ARU000437-V;CUATRO ESTRELLAS;PALMERA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;CHELVA;46176;C PALMERA 3;casataure@hotmail.com;http://www.casataure.es;616364027;4;22/02/2013;[Anual]
CV-ARU000468-V;CUATRO ESTRELLAS;LA SERRATELLA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;CARCAIXENT;46740;CM de la Serratella, 158 Polígono 34 Parcela 141;zelesteweb@hotmail.com;https://www.casarurallaserratella.com;0034 639 423 723;16;15/06/2015;[Anual]
CV-ARU000405-V;CUATRO ESTRELLAS;BODEGAS HISPANOSUIZAS;;NO COMPARTIDA;VALENCIA/VALÈNCIA;REQUENA;46357;CR Nacional 322, km. 451.7, El Pontón ;info@bodegashispanosuizas.com;https://bodegashispanosuizas.com;661 894 200;9;03/02/2011;[Anual]
CV-ARU000573-V;CUATRO ESTRELLAS;LA CABRENTA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;ESTUBENY;46817;C SAN ONOFRE 4;info@lacabrentarural.es;https://lacabrentarural.es/es;962 210 013;11;16/06/2021;[Anual]
CV-ARU000316-V;CUATRO ESTRELLAS;EL RACONET;;NO COMPARTIDA;VALENCIA/VALÈNCIA;ALBAIDA;46860;C VERGE DEL ROSARI 10;info@elraconetrural.com;http://www.elraconetrural.com/;962391028;5;25/05/2007;[Anual]
CV-ARU000626-V;CUATRO ESTRELLAS;ENSUEÑO;;COMPARTIDA;VALENCIA/VALÈNCIA;ALCUBLAS;46172;C SAN AGUSTIN 19;bearey3@hotmail.com;;613751125;13;27/12/2023;[Anual]
CV-ARU000454-V;CUATRO ESTRELLAS;HUERTO DEL MEDICO - CASA DE ARRIBA;;COMPARTIDA;VALENCIA/VALÈNCIA;GUADASSUAR;46610;CR CV 525 ALGINET - ALGEMESI PK 3;tardemajestad@gmail.com;http://huertodelmedico.es;629407223;9;25/04/2014;[Anual]
CV-ARU000645-V;CUATRO ESTRELLAS;FINCA MALATA;;COMPARTIDA;VALENCIA/VALÈNCIA;TURÍS;46389;C LOMA DE LOS CABALLEROS, 20;YVETTE.MUYTJENS@GMAIL.COM;WWW.FINCAMALATA.COM;685322749;4;10/09/2024;[Anual]
CV-ARU000214-V;CUATRO ESTRELLAS;LA TORRETA;;COMPARTIDA;VALENCIA/VALÈNCIA;CORBERA;46612; Polígono 15-CALVARIO 300;info@casalatorreta.com;http://www.bed-and-breakfast-la-torreta.com;962 978 212;10;28/07/2004;No especificado
CV-ARU000547-V;CUATRO ESTRELLAS;CASA PESETA;;COMPARTIDA;VALENCIA/VALÈNCIA;VALLADA;46691;C GUARDIA CIVIL 5;info@mogart-sa.com;;658937285;9;06/02/2020;[Anual]
CV-ARU000446-V;CUATRO ESTRELLAS;FINCA SAN AGUSTIN;;COMPARTIDA;VALENCIA/VALÈNCIA;ONTINYENT;46870;PO 34 PARCELA 3 RECINTO 34;info@fincasanagustin.es;http://www.fincasanagustin.es;663882181;14;24/09/2013;[Anual]
CV-ARU000608-V;CINCO ESTRELLAS;Villa Paula;MASÍA;COMPARTIDA;VALENCIA/VALÈNCIA;MANISES;46940;Poligono 6 Nr 7, El Racó;villapaula@villapaula.es;www.villapaula.es;692687959;15;10/07/2023;[Anual]
CV-ARU000553-V;CINCO ESTRELLAS;LA CAMBRA;;COMPARTIDA;VALENCIA/VALÈNCIA;POTRIES;46721;C JAUME I 46;potriesrural@gmail.com;http://www.potriesrural.com;630867827;2;02/07/2020;[Anual]
CV-ARU000464-V;CINCO ESTRELLAS;CASA RABAT;;COMPARTIDA;VALENCIA/VALÈNCIA;RAFELCOFER;46716;C Cervantes 25;contact@casarabat.com;http://www.casarabat.com;962801464;13;17/04/2015;[Anual]
